Member,KMeans,GMM,Agglomerative,Hierarchical,RFM,Spark KMeans,RFM_Score,RFM_Segment,KMeans_Percent,GMM_Percent,Agglomerative_Percent,Hierarchical_Percent,RFM_Percent,SparkKMeans_Percent
4243,3,3,3,1,3,1,11,VIP,16.7,24.96,10.6,10.6,16.88,16.24
4244,2,0,1,2,2,3,8,Loyal Customers,36.63,28.35,29.89,29.89,32.84,36.35
4245,0,3,0,4,1,2,6,Ordinary Buyers,26.68,24.96,36.76,36.76,20.99,27.32
4246,0,0,0,4,2,2,8,Loyal Customers,26.68,28.35,36.76,36.76,32.84,27.32
4247,1,2,2,3,0,0,3,Lost Customers,19.98,25.12,22.76,22.76,29.3,20.09
4248,1,2,2,3,0,0,3,Lost Customers,19.98,25.12,22.76,22.76,29.3,20.09
4249,2,1,0,4,2,3,10,VIP,36.63,21.58,36.76,36.76,32.84,36.35
4250,1,2,2,3,0,0,3,Lost Customers,19.98,25.12,22.76,22.76,29.3,20.09
4251,3,1,3,1,3,1,12,VIP,16.7,21.58,10.6,10.6,16.88,16.24
4252,2,3,1,2,2,3,8,Loyal Customers,36.63,24.96,29.89,29.89,32.84,36.35
4254,0,0,0,4,1,2,6,Ordinary Buyers,26.68,28.35,36.76,36.76,20.99,27.32
4255,2,0,1,2,2,3,9,Loyal Customers,36.63,28.35,29.89,29.89,32.84,36.35
4256,1,2,2,3,0,0,4,Ordinary Buyers,19.98,25.12,22.76,22.76,29.3,20.09
4257,3,3,1,2,2,1,10,VIP,16.7,24.96,29.89,29.89,32.84,16.24
4258,3,1,1,2,3,1,11,VIP,16.7,21.58,29.89,29.89,16.88,16.24
4259,2,3,1,2,1,3,7,Loyal Customers,36.63,24.96,29.89,29.89,20.99,36.35
4260,2,0,1,2,2,3,9,Loyal Customers,36.63,28.35,29.89,29.89,32.84,36.35
4261,2,3,1,2,2,3,8,Loyal Customers,36.63,24.96,29.89,29.89,32.84,36.35
4262,3,1,1,2,3,1,11,VIP,16.7,21.58,29.89,29.89,16.88,16.24
4264,2,2,0,4,1,3,6,Ordinary Buyers,36.63,25.12,36.76,36.76,20.99,36.35
4265,2,0,0,4,2,3,9,Loyal Customers,36.63,28.35,36.76,36.76,32.84,36.35
4266,3,3,3,1,2,1,10,VIP,16.7,24.96,10.6,10.6,32.84,16.24
4267,2,1,1,2,3,3,11,VIP,36.63,21.58,29.89,29.89,16.88,36.35
4268,2,3,0,4,2,3,8,Loyal Customers,36.63,24.96,36.76,36.76,32.84,36.35
4269,2,3,0,4,2,3,8,Loyal Customers,36.63,24.96,36.76,36.76,32.84,36.35
4270,1,2,0,4,0,0,4,Ordinary Buyers,19.98,25.12,36.76,36.76,29.3,20.09
4271,1,2,2,3,0,0,4,Ordinary Buyers,19.98,25.12,22.76,22.76,29.3,20.09
4272,3,3,3,1,2,1,10,VIP,16.7,24.96,10.6,10.6,32.84,16.24
4273,2,2,0,4,1,3,6,Ordinary Buyers,36.63,25.12,36.76,36.76,20.99,36.35
4274,2,3,1,2,2,3,9,Loyal Customers,36.63,24.96,29.89,29.89,32.84,36.35
4275,3,3,3,1,3,1,11,VIP,16.7,24.96,10.6,10.6,16.88,16.24
4277,3,1,3,1,3,1,12,VIP,16.7,21.58,10.6,10.6,16.88,16.24
4278,1,2,2,3,0,0,3,Lost Customers,19.98,25.12,22.76,22.76,29.3,20.09
4279,1,2,2,3,0,0,3,Lost Customers,19.98,25.12,22.76,22.76,29.3,20.09
4280,3,1,3,1,3,1,12,VIP,16.7,21.58,10.6,10.6,16.88,16.24
4281,2,0,1,2,2,3,9,Loyal Customers,36.63,28.35,29.89,29.89,32.84,36.35
4282,0,2,2,3,0,2,4,Ordinary Buyers,26.68,25.12,22.76,22.76,29.3,27.32
